,search_id,num_planet,disposition,ror,stellar_mass,ss_gravity,period,duration,transit_epoch
156,KIC 5794379,2,1,0.035281,0.67,4.592,36.06588163,4.3246,2455031.58423
157,KIC 5881688,1,1,0.050076,1.163,4.392,4.190425659,2.8589,2455004.44122
158,KIC 6022556,1,1,0.040686,1.013,4.463,3.709870784,3.0694,2455004.987982
159,KIC 6032497,1,1,0.034822,0.989,4.444,16.3297527,6.271,2455010.29506
160,KIC 6061119,1,1,0.161479,0.865,4.584,27.807566216,4.21587,2455019.713552
161,KIC 6191521,1,1,0.056129,0.932,4.222,80.8723469,11.195,2455036.895
162,KIC 6267425,1,0,0.348902,0.68,4.575,3.166465862,2.9381,2455005.002627
163,KIC 3531558,1,1,0.015956,0.961,4.181,24.99324319,5.9409,2454971.68167
164,KIC 6276477,1,1,0.024674,0.891,4.462,10.35533116,3.1775,2455003.93729
165,KIC 6863998,1,1,0.040767,0.83,4.523,16.08518937,3.984,2455013.28319
166,KIC 6867155,1,2,0.14756,0.666,4.627,235.9986399,8.2284,2455041.399822
167,KIC 6948054,1,1,0.029843,0.823,4.562,7.49018305,2.7297,2455007.95037
168,KIC 6948054,2,1,0.035273,0.823,4.562,36.2761238,4.7865,2455034.2869
169,KIC 6948054,3,1,0.026969,0.823,4.562,17.46087931,2.2641,2454970.26594
170,KIC 6435936,1,1,0.036134,0.503,4.757,56.0560754,4.685,2455034.16578
171,KIC 6522242,1,1,0.139516,0.786,4.586,41.408316686,5.0264,2455028.78745
172,KIC 6526710,1,2,0.134949,1.041,4.487,39.74893077,7.3051,2455005.854644
173,KIC 6587280,1,1,0.027348,0.927,4.572,5.715425977,2.5242,2455007.87931
174,KIC 9471974,1,1,0.036501,1.247,3.907,49.18394185,11.3364,2454974.911924
175,KIC 6587280,2,1,0.025305,0.927,4.572,20.0261412,1.611,2454979.91109
176,KIC 6599919,1,2,0.192842,0.857,4.46,13.61014819,2.594,2455006.987319
177,KIC 6675056,1,0,0.030416,0.769,4.516,10.44331991,2.743,2455008.4046
178,KIC 6685526,1,1,0.015942,0.91,4.58,2.237489571,1.8119,2455003.81914
179,KIC 6756669,1,0,0.166109,0.804,4.53,5.851520671,3.11058,2455006.8228336
180,KIC 6784235,1,1,0.025513,1.026,4.503,3.167893418,2.1814,2455005.147959
181,KIC 6849310,1,1,0.030716,0.956,4.484,4.311780262,2.7251,2455006.576483
182,KIC 6849310,2,1,0.026569,0.956,4.484,20.0504494,4.556,2455021.08821
183,KIC 6849310,3,1,0.026407,0.956,4.484,9.76734503,1.6585,2455019.57718
184,KIC 6862328,1,2,0.077431,0.904,4.342,119.0207044,8.1405,2455055.236492
